Title,Title_link,rev_wrap,Field1,Field2,Field2_link,Field3
creative vegetarian deliciousness,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r177053279-Tibits-London_England.html,Date of visit: September 2013,"Loved this restaurant! I was a little hesitant at first when I heard it was a buffet-style, but I was assured by a friend that the food is creative and tasty, and the atmosphere is wonderful. He was right! It can get a little pricey...More",creative vegetarian deliciousness,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r177053279-Tibits-London_England.html,"Loved this restaurant! I was a little hesitant at first when I heard it was a buffet-style, but I was assured by a friend that the food is creative and tasty, and the atmosphere is wonderful. He was right! It can get a little pricey if you aren't careful with how much you load up your plate since you pay by weight, but it's all worth it. Allergens and vegan items are very clearly labeled. All the dishes I tried were so good. And they have a full bar so I splurged and ordered a Pimm's and lemonade to go with my meal. Hostess (who was possibly the manager) was extremely welcoming and staff was helpful and pleasant. If you are in London and enjoy well prepared food, even if you are not vegan/vegetarian this place should be on your list!"
"Bags of choice, fresh and flavoursome",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r176291594-Tibits-London_England.html,Date of visit: September 2013,"Firstly I will say that I am not a veggie but I cannot fault this restaurant. This wonderfully positioned veggie eatery offers a self service buffet with a mind blowing range of hot and cold food which is sold by weight.

All food chosen was...More","Bags of choice, fresh and flavoursome",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r176291594-Tibits-London_England.html,"Firstly I will say that I am not a veggie but I cannot fault this restaurant. This wonderfully positioned veggie eatery offers a self service buffet with a mind blowing range of hot and cold food which is sold by weight.All food chosen was delicious, the staff warm and friendly and the cost very reasonable"
"Healthy food,  nice setting",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r176146252-Tibits-London_England.html,,"This place is a bit hidden,  but well worth finding.  The food was fresh,  delicious and with good variety,  even for gluten intolerant people. I'll definitely go there again.","Healthy food, nice setting",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r176146252-Tibits-London_England.html,"This place is a bit hidden, but well worth finding. The food was fresh, delicious and with good variety, even for gluten intolerant people. I'll definitely go there again."
"Tasty,fresh,healthy",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r176022255-Tibits-London_England.html,Date of visit: January 2013,"Good choice at every food bar,a bit pricey for the quantity you get at the end but very good quality and healthy meal on the go.","Tasty,fresh,healthy",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r176022255-Tibits-London_England.html,"Good choice at every food bar,a bit pricey for the quantity you get at the end but very good quality and healthy meal on the go."
Best vegetarian in London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r175851698-Tibits-London_England.html,>  >,This place has great vegetarian food! The food items are presented nicely with labels near each dish and the area is kept clean. The desserts are tasty and decadent as well. The atmosphere is modern and a little glamorous with the new chandeliers. Bathrooms are...More,Best vegetarian in London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r175851698-Tibits-London_England.html,This place has great vegetarian food! The food items are presented nicely with labels near each dish and the area is kept clean. The desserts are tasty and decadent as well. The atmosphere is modern and a little glamorous with the new chandeliers. Bathrooms are tiny though and located downstairs.
Everyone should eat here,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r175797723-Tibits-London_England.html,Date of visit: June 2013,"As people who have visited London know, you can spend a lot on food here.  We wanted a bit of dessert, but kept finding places that were fancy (to us) and charged £7-8 for a tiny piece of cake.  So we were very happy to...More",Everyone should eat here,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r175797723-Tibits-London_England.html,"As people who have visited London know, you can spend a lot on food here. We wanted a bit of dessert, but kept finding places that were fancy (to us) and charged £7-8 for a tiny piece of cake. So we were very happy to find tibits, and with prices charged by weight, we got delicious toffee pudding and another dessert without breaking the bank. The staff was kind, the music was right, and we were able to talk to each other."
Good selection of dishes,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r175317848-Tibits-London_England.html,Date of visit: September 2013,Good selection of very tasty hot and cold dishes for dinner to choose from and the whole thing sensibly priced. A nice meal out and something a bit different from the norm.,Good selection of dishes,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r175317848-Tibits-London_England.html,Good selection of very tasty hot and cold dishes for dinner to choose from and the whole thing sensibly priced. A nice meal out and something a bit different from the norm.
Love it. Just like brazil,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r175127869-Tibits-London_England.html,Date of visit: June 2013,"I loved it here, the food was great. The weighing system is a lovely idea from brazil and all really reasonable too. The food section is huge and all healthy too and looks appealing. Staff lovely and all clean and welcoming",Love it. Just like brazil,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r175127869-Tibits-London_England.html,"I loved it here, the food was great. The weighing system is a lovely idea from brazil and all really reasonable too. The food section is huge and all healthy too and looks appealing. Staff lovely and all clean and welcoming"
Hidden Jewel,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r175050225-Tibits-London_England.html,Date of visit: August 2013,"Having seen a below par performance from our team at Wembley we needed cheering and filling up so (following reviewer's best advice) we discovered Tibits off Regent Street...............and what a delight.
The restaurant is clean, well decorated, accommodating  (at half six Saturday evening not too...More",Hidden Jewel,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r175050225-Tibits-London_England.html,"Having seen a below par performance from our team at Wembley we needed cheering and filling up so (following reviewer's best advice) we discovered Tibits off Regent Street...............and what a delight.The restaurant is clean, well decorated, accommodating (at half six Saturday evening not too busy) and the staff couldn't do enough to help.The range of cuisine, purchased by weight value and well presented, was fantastic and we were really spoilt for choice. Hot and cold delights from around the world would tantalise all tastes without breaking the diner's 'bank' and we,ll certainly visit again.Regrettably we were fully satisfied with our first course so didn't venture into desserts which were of an equal standard, choice and value.Thanks Tibits for cheering us up and satisfying us after a wretched afternoon."
,,,,,,
Selfservice quality,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r174856810-Tibits-London_England.html,Date of visit: July 2013,Excellent for vegetarian food. Self service so can sample if not sure. dishes all clearly marked as to contents. Pay by weight on plate. Excellent drinks mixed to order. Not the cheapest but for central London prices are not outrageous.,Selfservice quality,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r174856810-Tibits-London_England.html,Excellent for vegetarian food. Self service so can sample if not sure. dishes all clearly marked as to contents. Pay by weight on plate. Excellent drinks mixed to order. Not the cheapest but for central London prices are not outrageous.
Quick Snack,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r174713246-Tibits-London_England.html,Date of visit: August 2013,"We visited Titbits for a quick light snack and got a pleasant surprise considering the location in central London. Food quality was very good and the unique concept of paying by weight was ideal for our requirement. Lunch, including a drink, for two of us...More",Quick Snack,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r174713246-Tibits-London_England.html,"We visited Titbits for a quick light snack and got a pleasant surprise considering the location in central London. Food quality was very good and the unique concept of paying by weight was ideal for our requirement. Lunch, including a drink, for two of us cost £18 and we enjoyed the variety of food on offer. Not for big eaters as it could end up being expensive but ideal for sensible diners."
Great food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r174369747-Tibits-London_England.html,Date of visit: August 2013,Diverse range of very good-tasting food. One of the best meals that we had in London. Nice staff as well! Child-friendly too.,Great food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r174369747-Tibits-London_England.html,Diverse range of very good-tasting food. One of the best meals that we had in London. Nice staff as well! Child-friendly too.
Loved It!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r174160506-Tibits-London_England.html,Date of visit: August 2013,"We loved this restaurant so much that we visited it twice even though it was far from our hotel. Fresh food, great combination of traditional and creative recipes. My husband, my mom and our two boys (10 and 13) ate here. My mother and I...More",Loved It!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r174160506-Tibits-London_England.html,"We loved this restaurant so much that we visited it twice even though it was far from our hotel. Fresh food, great combination of traditional and creative recipes. My husband, my mom and our two boys (10 and 13) ate here. My mother and I are vegetarian and husband is not although it was at his request we ate there a second time on our trip. Great, helpful staff, fresh veggies, salads and hot dishes. There is plenty of seating inside and out and it is on a cute little side street with outdoor seating. It is a buffet with salads, desserts and cold dishes on the bottom of the buffet and hot dishes on top. They have wine, beer and espresso drinks. My favorites were the tofu sweet and sour melon salad, the berry crumble, the jalapeno poppers and the falafel with mango chutney. I highly recommend it!"
Happy hour mojitos,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r173204819-Tibits-London_England.html,Date of visit: August 2013,You've got to love 2 for 1 mojitos during happy hour after a long day in London. Great day shopping.,Happy hour mojitos,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r173204819-Tibits-London_England.html,You've got to love 2 for 1 mojitos during happy hour after a long day in London. Great day shopping.
Vegetarian buffet,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r173113214-Tibits-London_England.html,Date of visit: August 2013,"The format of this restaurant, just off Piccadilly, is a pay-by-weight vegetarian buffet. You will get a lot of food for what you'd normally pay in the average restaurant, and the food is good quality and tasty. They have many different cuisines to choose from,...More",Vegetarian buffet,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r173113214-Tibits-London_England.html,"The format of this restaurant, just off Piccadilly, is a pay-by-weight vegetarian buffet. You will get a lot of food for what you'd normally pay in the average restaurant, and the food is good quality and tasty. They have many different cuisines to choose from, and the dishes changed between the two times I went there. Nice place!"
Great Restaurant in The Heart of London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r172998600-Tibits-London_England.html,Date of visit: August 2013,"We were delighted to find this restaurant just off Regent Street. (When I say find we did plan this visit in advance by reading other reviews, but we have been let down in the past.) Anyway our visit was well rewarded. The food was excellent,...More",Great Restaurant in The Heart of London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r172998600-Tibits-London_England.html,"We were delighted to find this restaurant just off Regent Street. (When I say find we did plan this visit in advance by reading other reviews, but we have been let down in the past.) Anyway our visit was well rewarded. The food was excellent, the staff were great and the atmosphere was relaxed. It was nice for all off us to choose exactly what we wanted, so it meant the kids ate all their food. The cost of about £8 - £10 per adult was about right, but the kids were in the £5 range. We will return to Tibits next time we are in London."
PERFECT PLACE !!!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r172928383-Tibits-London_England.html,>  >  >  >,"Yes, it's really THE perfect place for people like me who loves to try and taste EVERYTHING but 
And here it's totally what you can do. You just pick everything you want in the smallest bites if you want and the price will be made...More",PERFECT PLACE !!!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r172928383-Tibits-London_England.html,"Yes, it's really THE perfect place for people like me who loves to try and taste EVERYTHING but And here it's totally what you can do. You just pick everything you want in the smallest bites if you want and the price will be made from the weight of your plate :)I took a little bit of almost every single dishes and it cost me less than 7£ !!!PLUS, the quality of the food is AMAZING and very HEALTHY !!!A TREASURE place where I will go often !!"
Vegetarian oasis in the heart of london,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r172830116-Tibits-London_England.html,Date of visit: July 2013,"Beautiful food, fantastic juices and cocktails, great decor and family friendly with highchairs and a play corner downstairs. Very pleased we found tibits and we'll be back next time we're in London.",Vegetarian oasis in the heart of london,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r172830116-Tibits-London_England.html,"Beautiful food, fantastic juices and cocktails, great decor and family friendly with highchairs and a play corner downstairs. Very pleased we found tibits and we'll be back next time we're in London."
A refreshing change,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r172501752-Tibits-London_England.html,Date of visit: August 2013,"When taking my Mum to London for a theatre trip, I'm so glad I planned a visit to Tibits.  The choice of food on offer was wonderfully fresh and super tasty.  The variety of dishes on offer was impressive, for both savoury and sweet palettes....More",A refreshing change,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r172501752-Tibits-London_England.html,"When taking my Mum to London for a theatre trip, I'm so glad I planned a visit to Tibits. The choice of food on offer was wonderfully fresh and super tasty. The variety of dishes on offer was impressive, for both savoury and sweet palettes. The setting and the staff were extremely pleasant and I would definitely go back there."
,,,,,,
excellent vegetarian in the center of london,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r172465861-Tibits-London_England.html,Date of visit: August 2013,It is very rare to find a vegetarian restaurant in the center of a big city. This is a buffet restaurant with an enormous choice where you pay by the weight. Everything is very fresh and very well labeled. It is extremely reasonable considering the...More,excellent vegetarian in the center of london,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r172465861-Tibits-London_England.html,It is very rare to find a vegetarian restaurant in the center of a big city. This is a buffet restaurant with an enormous choice where you pay by the weight. Everything is very fresh and very well labeled. It is extremely reasonable considering the quality and the location. In the summer you can eat outdoors on a terrace on a very quiet pedestrian street only a few minutes from Piccadilly Circus.
My favourite place for lunch,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r171684969-Tibits-London_England.html,Date of visit: July 2013,"We ate at Tibits twice during a 1-week stay in London. The food is of excellent quality. A large buffet in the centre of the restaurant allows customers to put together their individual plates. Available dishes are different cuisines, italian, Arabic, Greek, French. Vegetables and...More",My favourite place for lunch,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r171684969-Tibits-London_England.html,"We ate at Tibits twice during a 1-week stay in London. The food is of excellent quality. A large buffet in the centre of the restaurant allows customers to put together their individual plates. Available dishes are different cuisines, italian, Arabic, Greek, French. Vegetables and fruits all superbly fresh. Food is weighed and paid by weight. Freshly squeezed drinks complete the feast. Ample space at two levels, wifi and a kids corner. Just off Regent street a heaven of quiet, a place to rest. Highly recommended!"
"Fresh ingredients, great food",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r170876188-Tibits-London_England.html,Date of visit: August 2013,"The food is extremely fresh, made with high quality ingredients. You fill your plate with what you want (choose among 30 dishes) and then get it weighted. If available, try their dried French beans and walnuts salad or the Thai salad with mango, carrots and...More","Fresh ingredients, great food",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r170876188-Tibits-London_England.html,"The food is extremely fresh, made with high quality ingredients. You fill your plate with what you want (choose among 30 dishes) and then get it weighted. If available, try their dried French beans and walnuts salad or the Thai salad with mango, carrots and tofu."
Very good concept and quality,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r170471584-Tibits-London_England.html,Date of visit: July 2013,"The concept is: add in the ingredients from the buffet in your plate, weight your plate and pay accordingly. Everything is veggie.
The place is quite cool and welcoming. Heddon Street seems like the place to be.
The food was very good (this includes the...More",Very good concept and quality,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r170471584-Tibits-London_England.html,"The concept is: add in the ingredients from the buffet in your plate, weight your plate and pay accordingly. Everything is veggie.The place is quite cool and welcoming. Heddon Street seems like the place to be.The food was very good (this includes the dessert and the tutti frutti juice!) and the waiters were quite friendly. The price was rather OK."
A little hard to find but well worth it.,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r170425726-Tibits-London_England.html,>  >  >,We are vegan and the selection was more than adequate. They weigh your food and charge you. I was comfortable with that. The lower level looked like a cool place for a birthday gathering. They also have a cool kiddie play area down there.More,A little hard to find but well worth it.,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r170425726-Tibits-London_England.html,We are vegan and the selection was more than adequate. They weigh your food and charge you. I was comfortable with that. The lower level looked like a cool place for a birthday gathering. They also have a cool kiddie play area down there.
Excellent vegan food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r169318103-Tibits-London_England.html,Date of visit: July 2013,Visited recently and the food was fantastic. A really great vegan selection where you serve yourself exactly what you want of something and pay by the weight of your plate. The variety of different dishes was unbelievable and we didn't even get to try the...More,Excellent vegan food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r169318103-Tibits-London_England.html,Visited recently and the food was fantastic. A really great vegan selection where you serve yourself exactly what you want of something and pay by the weight of your plate. The variety of different dishes was unbelievable and we didn't even get to try the desserts as we had eaten so much! We will definitely be back.
Veggie heaven!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r169273272-Tibits-London_England.html,Date of visit: July 2013,"Tibits is one of the best all-veg restaurants I've eaten in. Don't let the self-serve format put you off, this is not a standard salad bar. The choice of salads is amazing; Indian, Turkish, Greek etc. 

The salads are served in a central table in...More",Veggie heaven!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r169273272-Tibits-London_England.html,"Tibits is one of the best all-veg restaurants I've eaten in. Don't let the self-serve format put you off, this is not a standard salad bar. The choice of salads is amazing; Indian, Turkish, Greek etc. The salads are served in a central table in quite small serving bowls which means they are refilled regularly with fresh food. There are some hot options too, plus fruit and pudding options. Everything is priced by weight, so the more you put on your plate the more it costs. I had a good sized dinner plate for £9, very reasonable. The staff are extremely welcoming and happy to explain how the process works. Tibits is located in Heddon St, just off Regent Street, so perfect for the West End without the hustle and bustle of eating on the main drag.I will definitely be returning here, can't believe it took me so long to find Tibits!"
A hidden Gem,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r169164405-Tibits-London_England.html,Date of visit: July 2013,We were in London for four days and our daughter who is vegan and my wife who is vegetarian suggested that we go to Tibits as they had eaten here during a previous visit to the Capital.If you are not bothered about meat ( which...More,A hidden Gem,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r169164405-Tibits-London_England.html,"We were in London for four days and our daughter who is vegan and my wife who is vegetarian suggested that we go to Tibits as they had eaten here during a previous visit to the Capital.If you are not bothered about meat ( which is me ) then this restaurant is a great choice. It is tucked away in the food quarter behind Regent Street.When we went (July 2013 ) it was tremendously hot and it was great to be able to sit outside and watch the world go by. Tibits is so simple, they welcome you in and give you a plate and the rest is up to you - you simply fill your plate from the massive selection on display, you then take your food to the counter where it is weighed and you simply pay there and then. This restaurant is so informal that it really is great. The food is superb and we really enjoyed ourselves - so much so that we ate there on three days. The prices are good value and it cost us about £15 each including a pudding - not at all bad for central London.There is no doubt about it Tibits was a good find by my wife and we will deffinately be visiting again on our next visit to the Capital.Just a quick point, why oh why is Tibits only in London and why only one restaurant, this concept is too good not to be shared - I'm absolutely sure that other Tibits in other major Cities in the U.K would do very well indeed.So very well done to this outstanding restaurant, thank's for looking after us and as Arnold Schwarzenegger said - well you know the rest!!!"
Would definitely return,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r168269769-Tibits-London_England.html,Date of visit: July 2013,"Lovely choice of vegetarian food - so nice to be able to choose how much you eat rather than being given a huge plate of food (particularly so for the desserts). Lovely to sit outside if the weather is good, really doesn't feel like you...More",Would definitely return,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r168269769-Tibits-London_England.html,"Lovely choice of vegetarian food - so nice to be able to choose how much you eat rather than being given a huge plate of food (particularly so for the desserts). Lovely to sit outside if the weather is good, really doesn't feel like you are in Central London."
TITBITS CAFE IN central London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r168084590-Tibits-London_England.html,,"The food is fresh, well presented & varied.
As you pay per weight, you could end paying £9 for a salad as my friend did.
I chose light vegetables & paid £7.
After the meal I think the price is rather high; you can get...More",TITBITS CAFE IN central London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r168084590-Tibits-London_England.html,"The food is fresh, well presented & varied.As you pay per weight, you could end paying £9 for a salad as my friend did.I chose light vegetables & paid £7.After the meal I think the price is rather high; you can get a nice curry in WhiteChapel for the same cost."
,,,,,,
Probably the best vegetarian restaurant in London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r167732674-Tibits-London_England.html,Date of visit: May 2013,"My vegetarian daughter and grand daughter joined me in London in May. They are vegetarian so did some homework and found Tibits. I was not looking forward to eating here but what the hell gave it a go. What a surprise....great food, and terrific service....More",Probably the best vegetarian restaurant in London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r167732674-Tibits-London_England.html,"My vegetarian daughter and grand daughter joined me in London in May. They are vegetarian so did some homework and found Tibits. I was not looking forward to eating here but what the hell gave it a go. What a surprise....great food, and terrific service. We ate here daily for the rest of the week. I'm almost ready to convert."
Delicious and healthy!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r167136390-Tibits-London_England.html,Date of visit: June 2013,The best vegetarian restaurant I've ever been to. Just loved it. Wish there was something like it in Australia.,Delicious and healthy!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r167136390-Tibits-London_England.html,The best vegetarian restaurant I've ever been to. Just loved it. Wish there was something like it in Australia.
A nice place to jump in,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r167055307-Tibits-London_England.html,Date of visit: July 2013,"We were just walking around looking for something to drink and we were surprised by this place, the drinks were nice and the food was also tasty, even though it was free buffet fashioned, the food was surprisingly fresh and juicy.
We left the place...More",A nice place to jump in,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r167055307-Tibits-London_England.html,"We were just walking around looking for something to drink and we were surprised by this place, the drinks were nice and the food was also tasty, even though it was free buffet fashioned, the food was surprisingly fresh and juicy.We left the place very happy to have found it, as we were expecting something simpler. The outdoor part helped us to enjoy this strangely warm weekend in London, and the staff was friendly with us, however it took a while to be served.The negative point: It's not the cheapest place for this kind of food, although good, could be a little less expensive"
"Lovely food, but pricey for what you get..",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r166387595-Tibits-London_England.html,Date of visit: November 2012,"I found my first trip to Titbits a mixed bag, to be honest.  Yes, the food was very nice, tasty and had a very very tasty black quinoa dish, but disappointing that some of the items were pre prepared frozen foods that they deep fried,...More","Lovely food, but pricey for what you get..",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r166387595-Tibits-London_England.html,"I found my first trip to Titbits a mixed bag, to be honest. Yes, the food was very nice, tasty and had a very very tasty black quinoa dish, but disappointing that some of the items were pre prepared frozen foods that they deep fried, the jalepeno poppers and chips, for example.I found the cost to be quite expensive and ending up spending around £20. The drinks were also a bit on the high side. Overall the quality of the food was very good, but the prices..just a bit too pricey!"
Nice surprise,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r165598364-Tibits-London_England.html,Date of visit: June 2013,"I was very excited to visit tibits when I heard that it offered a buffet or food boat as they call it. Usually, one will not ever find buffets that offer good quality, but Tibits was a great surprise as their strictly vegetarian food, is...More",Nice surprise,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r165598364-Tibits-London_England.html,"I was very excited to visit tibits when I heard that it offered a buffet or food boat as they call it. Usually, one will not ever find buffets that offer good quality, but Tibits was a great surprise as their strictly vegetarian food, is not only healthy but also tastes great. There is a nice variety of selection, some of their dishes are quite different so be careful to look and read about them all before adding them to your plate. The food is not top of the top in quality, but it is pretty good considering its a buffet. Beware though, you pay by weight, so dont go overboard! Cocktails are a must as well!!"
Lovely hidden gem,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r165234158-Tibits-London_England.html,Date of visit: June 2013,"I had eaten here before, I'm not vegetarian but it was so lovely that when I planned a trip to London with my mum who is a veggie I knew just where to come. 
 Although its a buffet style the food is fresh and well...More",Lovely hidden gem,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r165234158-Tibits-London_England.html,"I had eaten here before, I'm not vegetarian but it was so lovely that when I planned a trip to London with my mum who is a veggie I knew just where to come.  Although its a buffet style the food is fresh and well laid out and labelled so you know exactly what you're putting on your plate. There's a great variety of cold and hot food, it was nice for my mum not to have to worry what she was putting on here plate!  Once you've done selecting you take your plate to be weighed and pay. I guess the only down side is you don't know how much it's going to be until then.  The place is lovely and clean apart from quite a bit of loo roll on the toilet floors. It's a great place for a pre theatre meal as you don't feel rushed. Would not hesitate to go back again."
Great food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r165104665-Tibits-London_England.html,Date of visit: June 2013,"We always eat here when in London, they have a fantastic choice of starters, hot mains and sides as well as loads of different salads, then there's a choice of desserts and cakes, organic beer and wines!

Even at peak times you can find a...More",Great food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r165104665-Tibits-London_England.html,"We always eat here when in London, they have a fantastic choice of starters, hot mains and sides as well as loads of different salads, then there's a choice of desserts and cakes, organic beer and wines!Even at peak times you can find a table and the staff are always ready to help. The food is paid for by weight, which seems to work. It's so good, you will go back for more!"
Veggie or no veggie - just try it!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r164890832-Tibits-London_England.html,Date of visit: May 2013,An amazing mix of salads and other veggie dishes. It's sold by weight so you can try everything. It's worth the price! I will come back there soon. It's worth noting: price varies during the day.,Veggie or no veggie - just try it!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r164890832-Tibits-London_England.html,An amazing mix of salads and other veggie dishes. It's sold by weight so you can try everything. It's worth the price! I will come back there soon. It's worth noting: price varies during the day.
"Great veggie, too expensive.",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r164867824-Tibits-London_England.html,Date of visit: June 2013,"Really enjoyed the food and atmosphere. Friendly staff, good decor. Food is buffet help yourself but was very expensive. I didn't have much and it came to £12.","Great veggie, too expensive.",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r164867824-Tibits-London_England.html,"Really enjoyed the food and atmosphere. Friendly staff, good decor. Food is buffet help yourself but was very expensive. I didn't have much and it came to £12."
I'm no veggie....but what a find!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r164839494-Tibits-London_England.html,Date of visit: June 2013,"I am a self confessed carnivore, but this restaurant was one of the best finds in London. My wife and I stumbled on to Tibits and found the food so fresh we just had to come back. You choose what you like from the extensive...More",I'm no veggie....but what a find!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r164839494-Tibits-London_England.html,"I am a self confessed carnivore, but this restaurant was one of the best finds in London. My wife and I stumbled on to Tibits and found the food so fresh we just had to come back. You choose what you like from the extensive range at the bistro counter, they then weigh your plate and you pay for what you have taken. Fantastic !! Our meals were on average around 7 GPB and very appetizing, fresh, filling ...what can I say...don't miss this place if your in the Regent Street area. I could easily convert to being a veggie full time based on Tibits. You obviously get it that I liked this place. Would go back any time I am in London."
,,,,,,
"Super food, super service, great choices, veggie only, good prices",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r163680258-Tibits-London_England.html,>,"As a vegitarien family I was so happy to find this place in london, tge good reviews I was worried incase it was a snooty place, it was fancy but incredibly friendly n even had toys down stairs! Food was crazy good n with piled...More","Super food, super service, great choices, veggie only, good prices",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r163680258-Tibits-London_England.html,"As a vegitarien family I was so happy to find this place in london, tge good reviews I was worried incase it was a snooty place, it was fancy but incredibly friendly n even had toys down stairs! Food was crazy good n with piled plates of veggie food avergaing 11pound each as its weighed I feel happy im not getting ripped off! Staff so helpfull asking if iv been before n then explaining how it works. Clean.comfy seating.thanks xx easy to find"
Good enough to turn a carnivore into a veggie?,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r163307688-Tibits-London_England.html,Date of visit: June 2013,"I'm just so pleased to find a vegetarian restaurant where you can get a wide choice of really fresh, really well-prepared dishes. It's true, as some have observed, it can work out a little expensive but I regard it as a treat to go there...More",Good enough to turn a carnivore into a veggie?,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r163307688-Tibits-London_England.html,"I'm just so pleased to find a vegetarian restaurant where you can get a wide choice of really fresh, really well-prepared dishes. It's true, as some have observed, it can work out a little expensive but I regard it as a treat to go there and do it every so often. The food is so good it could, I imagine, seduce even a determined carnivore. One slight caveat, I found the raspberry tiramasu a bit lacking in serious flavour, but I had been eating Haagen Dasz the night before. Worth mentioning, too, it opens onto the back street where the cover photo for David Bowie's celebrated 'Ziggy Stardust' album was shot."
